label,text
Typhoid,fever with rash on abdomen enlarged spleen and diarrhea
Influenza,i feel high temperatureish with aching muscles and extreme exhaustion
Irritable Bowel Syndrome,constant cramping and alternating between diarrhea and constipation. and gas
Alzheimer'S Disease,symptoms include its time to see your doctor
Ear Infection,intense pain inside the ear canal and difficulty hearing clearly. and fever
Strep Throat,high fever and sudden sore throat. and very red tonsils and swollen lymph nodes
Alzheimer'S Disease,getting lost in familiar places and repeating questions. and severe memory loss
Gastroenteritis,vomiting and severe stomach cramps with frequent watery stools
Diabetes,symptoms include a frequent need to urinate and/or fatigue
Pcos,"symptoms include skipping periods, severe acne, and weight gain that is very hard to lose."
Gastritis,gnawing stomach pain with hiccups and nausea
Strep Throat,"for the past few days, i have i have a very sore throat with swollen glands and cannot eat"
Heart Attack,"symptoms include i have a crushing chest pain that radiates to my left arm, and i am sweating a lot."
Urinary Tract Infection,i feel the need to go frequently and it burns when i urinate
Covid-19,anosmia and ageusia along with fatigue and a slight fever.
Dengue Fever,fever with rash muscle pain and bleeding gums
Irritable Bowel Syndrome,i have constipation and bloating with occasional diarrhea
Urinary Tract Infection,i have pain and burning when peeing and my urine smells bad
Pcos,"i miss my periods for months, have bad acne, and thinning hair on my head."
Conjunctivitis,burning red eyes with sticky discharge and swelling
Sinusitis,i have pain around my sinuses with thick yellow discharge
Hyperthyroidism,"bulging eyes, rapid weight loss, heat intolerance, and nervousness."
Urinary Tract Infection,symptoms include symptoms may differ depending on age
Stroke,symptoms include especially on one side of the body  - sudden confusion
Vertigo,symptoms include recurrent episodes of rotational dizziness with hearing changes
Pcos,"symptoms include irregular periods, excessive facial hair growth, and unexplained weight gain."
Covid-19,persistent dry cough high temperature shortness of breath and fatigue
Influenza,body pain fever chills weakness and cough
Hypertension,symptoms include (the wallet card on the right can be printed out and used to record your blood pressure numbers
Tuberculosis,chronic respiratory symptoms with fever sweating and cachexia
Covid-19,high temperature dry cough loss of smell fatigue and body aches
Common Cold,mild cold symptoms with runny nose and slight cough
Gastritis,a burning ache in my upper abdomen that gets worse after i eat.
Alzheimer'S Disease,"for the past few days, i have severe memory loss, getting lost in familiar places, and repeating questions."
Pneumonia,rapid breathing high temperature cough and chest discomfort
Appendicitis,sudden abdominal pain that gets worse with movement
Anemia,low energy dizziness and pounding heart during activity
Crohn'S Disease,"severe abdominal pain, persistent diarrhea, and noticeable weight loss without trying."
Chickenpox,fever and tiredness. and lots of small itchy pimples that became blisters
Alzheimer'S Disease,"for the past few days, i have and changes in behavior and personality conduct tests to measure memory"
Pneumonia,severe cough with pus like phlegm and high temperature
Migraine,one sided headache vomiting and sensitivity to light
Tonsillitis,swollen glands in my neck and bad breath with fever. and very sore throat
Psoriasis,"dry, cracked skin that may bleed, itchy scaly patches on my knees."
Gastroenteritis,"i have food poisoning symptoms: vomiting, stomach cramps, and loose stools."
Tuberculosis,night sweats fever weight loss and chronic cough
Heart Attack,symptoms include all chest pain should be checked by a doctor
Covid-19,"i am experiencing testing positive soon maybe: lack of taste, fever, and breathing is slightly hard."
Alzheimer'S Disease,"i am experiencing doctors can only make a diagnosis of ""possible"" or probable alzheimers disease while a person is alive"
Parkinson'S Disease,symptoms include people with parkinson's-like symptoms that result from other causes are sometimes said to have parkinsonism
Strep Throat,"for the past few days, i have i have a very sore throat with swollen glands and cannot eat"
Hypertension,i am experiencing when you are taking your blood pressure at home
Ulcerative Colitis,i am experiencing bloody bowel movements; fevers; and severe abdominal cramping1
Tuberculosis,night sweats fever weight loss and chronic cough
Urinary Tract Infection,symptoms include or foul-smelling urine pain or burning during urination strong and frequent need to urinate
Chickenpox,itchy spots turning into blisters and then crusting over
Common Cold,stuffy nose mild high temperature and cough with sore throat
Urinary Tract Infection,i am experiencing even right after emptying the bladder  - a mild fever below 101 degrees fahrenheit in some people
Influenza,symptoms include high fever muscle aches dry cough fatigue and headache
Anemia,"lack of energy, brittle nails, pale eyelids, and constant exhaustion."
Irritable Bowel Syndrome,crampy abdominal pain relieved by bowel movement
Anxiety Disorder,"for the past few days, i have panic episodes with shortness of breath and chest tightness"
Irritable Bowel Syndrome,i have abdominal discomfort that comes and goes with mucus in stool
Migraine,light sensitivity and throbbing headache on one side with nausea
Anxiety Disorder,feeling impending doom. and panic attacks out of nowhere and sweating and trembling
Ear Infection,"symptoms include my ear is draining fluid, throbbing pain, and i feel slightly dizzy."
Allergic Rhinitis,i keep sneezing with itchy nose and eyes especially outdoors
Anemia,i have weakness cold hands and feet and brittle nails
Anemia,"for the past few days, i have extreme tiredness weakness and pale complexion"
Bronchitis,lingering cough after a cold that produces thick mucus from my chest.
Alzheimer'S Disease,"i am experiencing doctors can only make a diagnosis of ""possible"" or probable alzheimers disease while a person is alive"
Pcos,thinning hair on my head. and i miss my periods for months and have bad acne
Heart Attack,symptoms include or weeks of a heart attack
Typhoid,prolonged high temperature with loss of appetite head pain and body pain
Hyperthyroidism,nervousness. and bulging eyes and rapid weight loss and heat intolerance
Common Cold,sneezing. no fever and i keep blowing my nose and just feeling a bit congested.
Eczema,i am experiencing chronic skin inflammation with oozing and crusting
Anemia,i have the most common symptom of anemia is fatigue (feeling tired or weak)
Depression,persistent sadness loss of interest fatigue and sleep changes
Malaria,high temperature chills head pain and vomiting after mosquito bites
Heart Attack,shortness of breath. and extreme tightness in my chest
Chickenpox,i am experiencing itchy fluid-filled blisters are popping up all over my torso and face.
Pneumonia,i am experiencing cough with rust colored sputum fever and breathing difficulty
Gout,recurrent attacks of joint inflammation and severe pain
Lyme Disease,"got bitten by a tick, now i have severe fatigue, joint aches, and a circular red rash."
Asthma,symptoms include shortness of breath triggered by cold air with wheezing
Parkinson'S Disease,i have parkinson's disease does not affect everyone the same way
Gout,symptoms include diagnosis may be difficult gout may be difficult for doctors to diagnose because the symptoms can be vague
Hypothyroidism,"extreme lethargy, constipation, puffiness in the face, and weight gain."
Kidney Stones,"for the past few days, i have excruciating pain that comes in waves with urinary urgency"
Irritable Bowel Syndrome,"for the past few days, i have abdominal cramping bloating diarrhea and constipation"
Tuberculosis,chronic cough and fever and drenching night sweats. and chest pain
Allergic Rhinitis,clear nasal drip. and dust triggers my allergies: non-stop sneezing
Asthma,difficulty breathing deeply. and using my inhaler a lot because of chest tightness
Alzheimer'S Disease,trouble handling money and wandering and increased memory gaps every day.
Stroke,"my face looks lopsided, i feel very confused and dizzy."
Alzheimer'S Disease,i am experiencing many of these other conditions can be treated successfully
Tonsillitis,"very sore throat, swollen glands in my neck, and bad breath with fever."
Urinary Tract Infection,"for the past few days, i have or reddened skin  - mental changes or confusion   - nausea and vomiting  - very bad abdominal pain in some people"
Conjunctivitis,eye redness burning sensation and yellowish discharge
Gastroenteritis,"for the past few days, i have i have been vomiting and having diarrhea since last night"
Sinusitis,symptoms include blocked nose yellowish discharge and pain around eyes and forehead
Migraine,recurring severe head pain with nausea and sound sensitivity
Depression,"for the past few days, i have wakefulness in the middle of the night"
Anxiety Disorder,feeling on edge constantly and restlessness trembling
Bronchitis,"for the past few days, i have acute bronchitis
                
acute bronchitis caused by an infection usually develops after you already have a cold or the flu"
Urinary Tract Infection,i have symptoms may vary symptoms may differ depending on age
Scabies,itchy bumps in skin folds and between fingers
Eczema,symptoms include rough bumpy skin with redness and irritation
Appendicitis,i am experiencing sudden onset lower right abdominal pain with rebound tenderness
Diabetes,i have along with an assessment of symptoms
Ear Infection,i am experiencing ear pain with dizziness and headache
Ear Infection,i am experiencing fluid leaking from ear with pain and reduced hearing
Migraine,head pain with aura flashing lights and feeling sick
Hypothyroidism,unexpected weight gain and dry skin and feeling cold when others are warm. and fatigue
Allergic Rhinitis,symptoms include sneezing fits with itchy watery eyes during spring
Stroke,i have it may not be possible to tell whether someone is having a tia or stroke
Vertigo,"symptoms include the room is spinning violently when i turn my head, keeping my balance is impossible."
Migraine,throbbing head pain on one side with nausea and light sensitivity
Ulcerative Colitis,sudden urge to pass stool. and bloody diarrhea occurring frequently and stomach cramps
Gastritis,gnawing pain in the stomach and bloating and loss of appetite.
Psoriasis,red inflamed skin with thick silvery scales
Common Cold,mild cough nasal congestion and sneezing without fever
Eczema,irritation and rough bumpy skin with redness
Covid-19,headache and sore throat fever cough taste loss
Ulcerative Colitis,sudden urge to pass stool. and bloody diarrhea occurring frequently and stomach cramps
Tonsillitis,i have throat pain fever headache and white patches on tonsils
Asthma,i have i can't breathe properly and have wheezing with cough
Eczema,"for the past few days, i have skin rash with intense itching and cracking"
Heart Attack,i have all chest pain should be checked by a doctor
Common Cold,"symptoms include slight sore throat, very mild cough, running nose but i can still work."
Psoriasis,scalp and chronic skin condition with plaques on knees elbows
Sinusitis,i am experiencing headache around eyes and cheeks with stuffy nose and mucus
Anxiety Disorder,"symptoms include my mind races at night, i feel tight in my chest from stress and panic."
Psoriasis,i am experiencing i have thick scaly patches on my elbows that itch
Hypertension,"i am experiencing high blood pressure is often called the ""silent killer"" because you can have it for years without knowing it"
Crohn'S Disease,"abdominal cramping, frequent trips to the bathroom, and losing weight quickly."
Dengue Fever,i have very high high temperature with severe body and joint pain
Tonsillitis,"for the past few days, i have throat feels raw with swelling and mild ear pain"
Psoriasis,i am experiencing dry cracked skin that may bleed with thick patches
Diabetes,i am drinking gallons of water. and blurry vision and unexplained weight loss
Common Cold,constant sneezing and blocked nose watery eyes
Hyperthyroidism,"for the past few days, i have hyperthyroidism has many symptoms that can vary from person to person"
Hypothyroidism,i am experiencing so people with high cholesterol should be tested for hypothyroidism
Influenza,"for the past few days, i have i have been having high fever with body aches and chills since yesterday"
Ulcerative Colitis,persistent bloody diarrhea and overall fatigue. and abdominal cramping
Endometriosis,"for the past few days, i have extremely painful periods, pain during intercourse, and lower back pain."
Celiac Disease,i have they can still develop complications of the disease over time
Bronchitis,"for the past few days, i have you also may have shortness of breath"
Tuberculosis,"a persistent cough lasting more than 3 weeks, cough up blood, and night sweats."
Depression,"for the past few days, i have remembering or making decisions  - thoughts of death or suicide"
Common Cold,sneezing stuffy nose and a scratchy throat for a few days
Anemia,"i am always tired, look very pale, and get dizzy when i stand up."
Conjunctivitis,itchy red eyes with swollen eyelids and watery discharge
Common Cold,sneezing stuffy nose and a scratchy throat for a few days
Covid-19,difficulty breathing high temperature dry cough and chest tightness
Crohn'S Disease,"i have persistent watery diarrhea, severe gas pains, and feeling constantly tired."
Anemia,"for the past few days, i have with some types of anemia"
Ear Infection,muffled hearing and pain inside ear with pressure
Asthma,symptoms include the best way to diagnose asthma for certain is to use a lung function test
Crohn'S Disease,severe gas pains and feeling constantly tired. and persistent watery diarrhea
Diabetes,symptoms include it does not require fasting and blood can be drawn for the test any time of the day
Conjunctivitis,symptoms include gritty sensation in eyes with redness and tearing
Ulcerative Colitis,feverish feelings. and bleeding and diarrhea and rectal pain
Heart Attack,"for the past few days, i have your symptoms may not be the same for another one"
Tonsillitis,throat feels raw with swelling and mild ear pain
Covid-19,have fever and i cannot smell or taste anything and dry cough
Pneumonia,productive cough fever chills and sharp chest pain
Lyme Disease,a circular red rash. and joint aches and got bitten by a tick and now i have severe fatigue
Depression,feeling empty tearful and unable to enjoy things
Alzheimer'S Disease,i am experiencing an examination of the brain done after a person dies
Conjunctivitis,yellowish discharge and eye redness burning sensation
Endometriosis,"i am experiencing extremely painful menstrual cramps, fatigue, and pain with bowel movements."
Ulcerative Colitis,"rectal pain and bleeding, diarrhea, and feverish feelings."
Eczema,crusting and chronic skin inflammation with oozing
Lyme Disease,extreme tiredness and swollen lymph nodes and a strange expanding red rash.
Lyme Disease,i have 5% the human phenotype ontology (hpo) has collected information on how often a sign or symptom occurs in a condition
Endometriosis,"extremely painful menstrual cramps, fatigue, and pain with bowel movements."
Bronchitis,symptoms include persistent cough with thick sputum and mild fever
Chickenpox,marks and blisters appearing on skin with high temperature and malaise
Diabetes,i am experiencing kidney disease and even death
Anxiety Disorder,racing thoughts panic attacks and feeling overwhelmed
Vertigo,"for the past few days, i have intense dizziness with ringing in ears and nausea"
Hypertension,i am experiencing cognitive changes: research shows that over time
Diabetes,i have who should get tested? because type 2 diabetes is more common in older people
Hypertension,nosebleeds and persistent headaches blurred vision
Irritable Bowel Syndrome,i am experiencing upset stomach with alternating bowel habits and flatulence
Heart Attack,"for the past few days, i have most heart attack patients do not have all of the symptoms"
Alzheimer'S Disease,i am experiencing doctors who can diagnose alzheimers include geriatricians
Malaria,cyclic fever with shaking chills and profuse sweating
Common Cold,nasal drip sore throat and mild headache
Conjunctivitis,redness in both eyes and feels gritty like there's sand in them and highly contagious pink eye.
Diabetes,i have increased thirst frequent urination fatigue and blurred vision
Hyperthyroidism,"i have tremors in my hands, feeling very anxious all the time, and unexpected weight loss."
Crohn'S Disease,"high temperature, chronic diarrhea often with blood, and severe stomach cramps."
Scabies,i am experiencing intense itching especially at night with burrow tracks on skin
Anxiety Disorder,feeling overwhelmed and racing thoughts panic attacks
Irritable Bowel Syndrome,symptoms include i have stomach cramps bloating and my bowels are very irregular
Irritable Bowel Syndrome,ibs acting up: cramping and urgent need to go to the bathroom.
Dengue Fever,high fever and pain behind the eyes and extreme fatigue after a mosquito bite.
Influenza,body pain high temperature chills weakness and cough
Pcos,infrequent periods and noticeable hair growth on my face. and struggling to lose weight
Lyme Disease,my joints are very stiff. and i have a bullseye rash on my leg and fever
Alzheimer'S Disease,i have benefits of early diagnosis an early
Migraine,throbbing headache on one side with nausea and light sensitivity
Stroke,"i am experiencing don't ignore ""mini-strokes"" sometimes the warning signs of stroke may last only a few moments and then disappear"
Bronchitis,i have been coughing up mucus for over a week with chest pain
Scabies,symptoms include pimple like rash with severe itching worse at night
Vertigo,"symptoms include the room is spinning violently when i turn my head, keeping my balance is impossible."
Typhoid,fever weakness and diarrhea alternating with constipation
Common Cold,"just a normal sniffle, slightly blocked nose, and a tickle in my throat."
Crohn'S Disease,"high temperature, chronic diarrhea often with blood, and severe stomach cramps."
Conjunctivitis,inflamed eyes with crusting and blurred vision
Pneumonia,"sharp chest pain when i inhale, productive cough, and feeling extremely weak and feverish."
Asthma,coughing fits mostly at night. and wheezing and chest tightness
Urinary Tract Infection,"for the past few days, i have he or she will then test a sample of urine"
Strep Throat,"swollen lymph nodes, very red tonsils, high fever, and sudden sore throat."
Alzheimer'S Disease,i am experiencing an examination of the brain done after a person dies
Pcos,skipping periods and weight gain that is very hard to lose. and severe acne
Endometriosis,"extremely painful periods, pain during intercourse, and lower back pain."
Allergic Rhinitis,allergic reaction with sneezing runny nose and red eyes
Crohn'S Disease,severe stomach cramps. and chronic diarrhea often with blood and fever
Allergic Rhinitis,"for the past few days, i have hay fever symptoms with congestion and sneezing"
Lyme Disease,i am experiencing no information on frequency is available
Anemia,i am experiencing feeling dizzy lightheaded and fatigued with pale nails
Heart Attack,symptoms include shortness of breath shortness of breath often happens along with
Lyme Disease,i have much of this information comes from orphanet
Dengue Fever,fever with bleeding nose muscle aches and bone pain
Hypertension,"i am experiencing complications of high blood pressure
                
when blood pressure stays high over time"
Depression,sleeping all the time but still exhausted and crying spells and deep sadness.
Crohn'S Disease,"i have cramping in the stomach, diarrhea containing blood, and extreme fatigue."
Dengue Fever,i am experiencing breakbone fever with joint pain and skin eruptions
Diabetes,symptoms include sometimes people have symptoms but do not suspect diabetes
Heart Attack,"for the past few days, i have shortness of breath often happens along with"
Dengue Fever,symptoms include fever headache retro orbital pain and platelet drop
Anxiety Disorder,worry that interferes with daily life and causes insomnia
Psoriasis,i have sometimes the diagnosis is more difficult
Appendicitis,pain starting around navel moving to right lower side
Gastroenteritis,i have nausea cramping and frequent trips to the bathroom
Eczema,rough bumpy skin with redness and irritation
Pneumonia,rapid breathing fever cough and chest discomfort
Urinary Tract Infection,frequent urination and burning urination lower abdominal discomfort
Common Cold,i have congestion sneezing and my throat feels scratchy
Gastritis,i am experiencing epigastric pain nausea and feeling of fullness
Heart Attack,i am experiencing most heart attacks involve discomfort in the center or left side of the chest
Parkinson'S Disease,"shaking in my fingers, slow movement, and shuffling when i walk."
Bronchitis,symptoms include which may last 10 to 20 days
Appendicitis,pain worse when walking and abdominal tenderness fever
Hypertension,symptoms include the signs and symptoms that develop depend on the location of the aneurysm
Influenza,"i have it feels like i was hit by a truck. high temperature, weak muscles, dry cough."
Celiac Disease,i have they can still develop complications of the disease over time
Kidney Stones,"for the past few days, i have i have terrible pain in my side that comes and goes with bloody urine"
Parkinson'S Disease,i have parkinson's belongs to a group of neurological conditions called movement disorders
Tonsillitis,painful throat red swollen tonsils and bad breath
Diabetes,excessive hunger weight loss and frequent urination
Appendicitis,i am experiencing sudden onset lower right abdominal pain with rebound tenderness
Urinary Tract Infection,i feel the need to go frequently and it burns when i urinate
Hypothyroidism,"symptoms include dry skin, unexpected weight gain, fatigue, and feeling cold when others are warm."
Tuberculosis,losing weight without trying and a chesty cough with blood. and severe night sweats
Influenza,fever fatigue dry cough and body aches after exposure to flu
Gout,symptoms include recurrent attacks of joint inflammation and severe pain
Ulcerative Colitis,"severe urgency to go to the bathroom, diarrhea with mucus and blood."
Influenza,cough and body pain fever chills weakness
Gout,"for the past few days, i have and the attacks usually begin at night"
Bronchitis,"cough up a lot of sputum, slight high temperature, and wheezing when i breathe."
Chickenpox,itchy fluid-filled blisters are popping up all over my torso and face.
Hypothyroidism,i have an extreme form of hypothyroidism in which the bodys functions slow to the point that it becomes life threatening
Gastroenteritis,stomach cramps and loose stools. and food poisoning symptoms: vomiting
Hyperthyroidism,"for the past few days, i have bulging eyes, rapid weight loss, heat intolerance, and nervousness."
Typhoid,high temperature weakness and diarrhea alternating with constipation
Gastritis,abdominal burning and discomfort with occasional vomiting
Scabies,especially at night. little red burrows between my fingers. and intense itching all over my body
Anemia,persistent tiredness headache and difficulty concentrating
Gout,"for the past few days, i have sometime during the course of the disease"
Bronchitis,i have if the mucus is yellow or green
Influenza,high high temperature muscle aches dry cough fatigue and head pain
Malaria,nausea and profuse sweating and recurring fevers/chills. and headache
Anxiety Disorder,symptoms include feeling nervous irritable and having trouble concentrating
Common Cold,"i keep blowing my nose and sneezing. no high temperature, just feeling a bit congested."
Endometriosis,"i am experiencing extremely painful menstrual cramps, fatigue, and pain with bowel movements."
Heart Attack,"for the past few days, i have occurs more often or while you're resting) can be a sign of a heart attack"
Typhoid,persistent high temperature head pain and abdominal discomfort
Lyme Disease,i am experiencing the first number of the fraction is how many people had the symptom
Ulcerative Colitis,feverish feelings. and bleeding and diarrhea and rectal pain
Strep Throat,severe sore throat with nausea and tender lymph nodes
Stroke,i am experiencing how long symptoms last and how severe they are vary among different people
Kidney Stones,excruciating pain that comes in waves with urinary urgency
Urinary Tract Infection,burning when peeing and my urine smells bad and i have pain
Alzheimer'S Disease,"misplacing items in strange places, struggling with words, and memory decline."
Gout,symptoms include crystal arthritis with sudden painful swelling in toe or ankle
Stroke,"for the past few days, i have or experiences facial paralysis on one side  call 911 immediately"
Pcos,"infrequent periods, struggling to lose weight, and noticeable hair growth on my face."
Kidney Stones,agonizing pain in the right kidney area and throwing up from the pain.
Migraine,one sided headache vomiting and sensitivity to light
Ulcerative Colitis,"severe urgency to go to the bathroom, diarrhea with mucus and blood."
Lyme Disease,extreme tiredness and swollen lymph nodes and a strange expanding red rash.
Stroke,symptoms include loss of balance or coordination
Endometriosis,"for the past few days, i have pelvic pain that gets worse during my menstrual cycle, heavy bleeding."
Pneumonia,"my lips look a bit bluish, high high temperature, and very painful breathing/cough."
Heart Attack,symptoms include angina is chest pain that occurs in people who have coronary heart disease
Allergic Rhinitis,sneezing itchy eyes stuffy nose and nasal irritation
Psoriasis,i have thick scaly patches on my elbows that itch
Anxiety Disorder,constant worrying muscle tension and difficulty sleeping
Chickenpox,symptoms include rash starting on trunk spreading to face and limbs with fever
Appendicitis,i have pain around belly button that shifted to lower right with nausea
Hypothyroidism,"sluggishness, unexplained weight gain, brittle nails, and constant feeling of coldness."
Kidney Stones,"for the past few days, i have excruciating flank pain coming in waves, nausea, and blood in urine."
Typhoid,prolonged high temperature abdominal pain constipation and weakness
Tonsillitis,"very sore throat, swollen glands in my neck, and bad breath with fever."
Malaria,i have the frequency may also be listed as a fraction
Ear Infection,i have severe ear pain that worsens at night with fever
Alzheimer'S Disease,i am experiencing many of these other conditions can be treated successfully
Appendicitis,i am experiencing sharp sudden pain that started around my belly button and moved to the lower right abdomen.
Gastroenteritis,i have food poisoning symptoms with nausea vomiting and diarrhea
Dengue Fever,symptoms include the sign or symptom may be rare or common
Chickenpox,classic childhood rash: red spots becoming itchy blisters all over the body.
Kidney Stones,"for the past few days, i have sudden severe pain in back radiating to abdomen and groin"
Eczema,"for the past few days, i have red scaly patches on skin with severe itching"
Scabies,i have rash with crusting and intense itching on hands and body
Bronchitis,i have cough that won't go away with phlegm and chest soreness
Vertigo,"i have i feel incredibly dizzy and nauseous, like i am on a fast merry-go-round."
Lyme Disease,extreme tiredness and swollen lymph nodes and a strange expanding red rash.
Strep Throat,severe sore throat with nausea and tender lymph nodes
Typhoid,"for the past few days, i have step ladder pattern fever with constipation and malaise"
Ear Infection,i am experiencing fluid leaking from ear with pain and reduced hearing
Strep Throat,sudden onset throat pain swollen neck glands and headache
Anemia,"i am experiencing lack of energy, brittle nails, pale eyelids, and constant exhaustion."
Allergic Rhinitis,seasonal allergies acting up: stuffy nose and itchy throat/eyes.
Eczema,symptoms include rough bumpy skin with redness and irritation
Migraine,symptoms include one sided headache vomiting and sensitivity to light
Hypothyroidism,"symptoms include memory problems, muscle weakness, very dry skin, and constant exhaustion."
Influenza,it feels like i was hit by a truck. high temperature and dry cough. and weak muscles
Alzheimer'S Disease,i am experiencing doctors may - ask questions about overall health
Hypothyroidism,i am experiencing so people with high cholesterol should be tested for hypothyroidism
Sinusitis,facial pain pressure around nose thick nasal discharge and head pain
Hypertension,symptoms include the symptoms of a stroke include sudden onset of weakness; paralysis or numbness of the face
Tuberculosis,chronic cough high temperature and loss of appetite with chest pain
Crohn'S Disease,"i have cramping in the stomach, diarrhea containing blood, and extreme fatigue."
Stroke,i have you may not realize it at first
Appendicitis,i am experiencing sharp pain in lower right abdomen with nausea and fever
Asthma,"i am experiencing including exercise
                
other health conditions can make asthma harder to manage"
Depression,difficulty concentrating and depressed mood weight changes
Bronchitis,persistent cough chest congestion mild fever and mucus
Alzheimer'S Disease,"for the past few days, i have and changes in behavior and personality conduct tests to measure memory"
Gastroenteritis,loose stools vomiting dehydration and abdominal cramps
Parkinson'S Disease,"for the past few days, i have as the symptoms become more severe"
Common Cold,"for the past few days, i have blocked nose watery eyes and constant sneezing"
Bronchitis,symptoms include persistent cough with thick sputum and mild fever
Tonsillitis,red inflamed tonsils with fever and headache
Strep Throat,i have a very sore throat with swollen glands and cannot eat
Celiac Disease,i have they can still develop complications of the disease over time
Gastroenteritis,diarrhea vomiting stomach cramps nausea and high temperature
Appendicitis,abdominal tenderness high temperature and pain worse when walking
Bronchitis,i am experiencing you may have a bacterial infection as well
Hyperthyroidism,"rapid heart rate, constantly sweating, very anxious, and trouble sleeping."
Covid-19,loss of smell taste high temperature and body aches after covid contact
Hyperthyroidism,"i have tremors in my hands, feeling very anxious all the time, and unexpected weight loss."
Hyperthyroidism,"i am experiencing rapid heart rate, constantly sweating, very anxious, and trouble sleeping."
Hyperthyroidism,"tremors in my hands, feeling very anxious all the time, and unexpected weight loss."
Anemia,shortness of breath with minimal exertion and lightheadedness. and weakness
Celiac Disease,"for the past few days, i have i get extreme fatigue and digestive issues like gas and bloating after consuming wheat."
Common Cold,slight sore throat and running nose but i can still work. and very mild cough
Tonsillitis,symptoms include sore throat with swollen glands and pain when swallowing
Hypertension,"for the past few days, i have nosebleeds headache and difficulty breathing"
Dengue Fever,severe headache high fever rash and abdominal pain
Ear Infection,ear feels full with sharp pain and temporary hearing loss
Influenza,chills since yesterday and i have been having high fever with body aches
Irritable Bowel Syndrome,i have cramping pain after eating with bloating and changed stools
Pcos,"for the past few days, i have infrequent periods, struggling to lose weight, and noticeable hair growth on my face."
Tonsillitis,i have very painful throat and can see white spots on my tonsils
Appendicitis,"symptoms include severe abdominal pain on the right side, vomiting, and lack of appetite."
Heart Attack,i am experiencing and last more than 5 minutes
Ear Infection,"sharp piercing pain in my right ear, especially when lying down. muffled hearing."
Ulcerative Colitis,severe urgency to go to the bathroom and blood. and diarrhea with mucus
Dengue Fever,i have very high high temperature with severe body and joint pain
Bronchitis,mild fever and persistent cough with thick sputum
Kidney Stones,frequent urge to urinate but it hurts. and incredible pain in lower back and sides
Heart Attack,i am experiencing other upper body discomfort discomfort can also occur in other areas of the upper body
Endometriosis,"i am experiencing severe cramps during my period that radiate to my back and legs, and painful urination."
Influenza,i've got this terrible fever along with chills and body aches all over my back.
Gastritis,indigestion and stomach pain after eating with nausea
Scabies,intense itching especially at night with burrow tracks on skin
Conjunctivitis,i am experiencing pink eye with crusting eyelids and tearing
Gastroenteritis,"stomach cramps, diarrhea, and feeling very nauseous after eating out."
Anxiety Disorder,racing thoughts panic attacks and feeling overwhelmed
Hypothyroidism,i have myxedema requires immediate medical treatment
Lyme Disease,i am experiencing the sign or symptom may be rare or common
Parkinson'S Disease,i have may help to distinguish them from parkinson's
Hyperthyroidism,my heart is always racing and i'm losing weight rapidly despite eating a lot and sweating.
Pcos,excessive facial hair growth and unexplained weight gain. and irregular periods
Vertigo,"i feel incredibly dizzy and nauseous, like i am on a fast merry-go-round."
Diabetes,"for the past few days, i have an estimated 8 million people in the united states have type 2 diabetes and dont know it"
Hyperthyroidism,tremors in my hands and unexpected weight loss. and feeling very anxious all the time
Tuberculosis,coughing up blood with prolonged fever and wasting
Conjunctivitis,symptoms include gritty sensation in eyes with redness and tearing
Diabetes,i have some lose weight without trying
Ulcerative Colitis,sudden urge to pass stool. and bloody diarrhea occurring frequently and stomach cramps
Asthma,"for the past few days, i have these conditions need treatment as part of an overall asthma care plan"
Irritable Bowel Syndrome,i have ibs acting up: cramping and urgent need to go to the bathroom.
Common Cold,slight sore throat and running nose but i can still work. and very mild cough
Conjunctivitis,swelling and burning red eyes with sticky discharge
Gout,"intense joint pain at night in my toe, looks very red and feels warm."
Chickenpox,i am experiencing classic childhood rash: red spots becoming itchy blisters all over the body.
Migraine,"i am experiencing my head is throbbing so badly that i feel like throwing up, need a dark room."
Pneumonia,cough and sharp pain when breathing deeply with fever
Strep Throat,"i am experiencing intense sore throat, fever, and a rash on my chest."
Chickenpox,marks and blisters appearing on skin with fever and malaise
Hypertension,"for the past few days, i have headache dizziness shortness of breath and chest discomfort"
Influenza,an annoying dry cough. and sweating rapidly and freezing chills
Crohn'S Disease,"fever, chronic diarrhea often with blood, and severe stomach cramps."
Pcos,infrequent periods and noticeable hair growth on my face. and struggling to lose weight
Covid-19,persistent dry cough fever shortness of breath and fatigue
Anemia,i am experiencing persistent tiredness headache and difficulty concentrating
Urinary Tract Infection,it burns when i urinate and i feel the need to go frequently
Kidney Stones,i am experiencing colicky pain with hematuria and frequent urination
Sinusitis,congestion facial pressure and reduced sense of smell
Gout,i have many patients will develop gout in the big toe
Malaria,cyclic pattern of high temperature with head pain and body aches
Endometriosis,"i have chronic pelvic pain throughout the month, very heavy and painful periods."
Covid-19,headache fever loss of taste body pain and dry cough
Malaria,cyclic pattern of high temperature with head pain and body aches
Malaria,i have you can use the medlineplus medical dictionary to look up the definitions for these medical terms
Gout,i am experiencing if crystals are found in the joint fluid
Appendicitis,i have severe pain in my lower right belly with nausea
Depression,"for the past few days, i have how long they have lasted"
Tonsillitis,fever throat pain and enlarged tonsils with difficulty eating
Irritable Bowel Syndrome,bloating and abdominal pain that is relieved after having a bowel movement.
Bronchitis,"for the past few days, i have acute bronchitis
                
acute bronchitis caused by an infection usually develops after you already have a cold or the flu"
Appendicitis,"pain in the lower right side of my stomach, getting worse if i cough. rebound tenderness."
